index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot
0,17.647058823529413,2.1,1.7,0.5526315789473685,5.639097744360905,1.4,1.3,0.41515151515151527,16.216216216216214,1.8,1.7,0.5208333333333334,4.011286519822687,0.6933012813104176,0.8253714892326335,0.16750734873558287,18.75,1.9,1.7,0.5386847195357833,7.867965367965372,1.175,1.125,0.3899918560305101
300,21.42857142857143,1.9,1.1,0.64,7.287449392712547,1.1500000000000004,1.2,0.3774928774928775,16.44144144144144,1.8,1.55,0.5159722222222223,4.5383442663942555,0.7328720551879178,0.9192683763874873,0.17994026549203745,19.35483870967742,1.7,1.6,0.5277777777777778,8.268733850129198,1.3,1.1,0.4015572858731925
600,20.0,1.75,1.5,0.5455465587044535,7.287449392712547,1.1,1.0749999999999997,0.3675213675213675,18.181818181818183,1.7,1.65,0.49239766081871345,4.839439017073736,0.6926144634707773,0.866616960044471,0.1701648187838364,20.68965517241379,1.4500000000000002,1.6,0.38585607940446653,7.319320214669052,1.2,1.025,0.3967853342913797
900,20.0,1.7,1.4,0.5483870967741936,7.748987854251014,1.1,1.0,0.37897435897435905,18.75,1.7,1.6,0.5111111111111111,5.119335241452195,0.6667469497617603,0.9744067110494498,0.1704039101559731,19.354838709677423,1.65,1.65,0.4984234234234234,8.050089445438278,1.3,1.025,0.39228612956810627
1200,21.42857142857143,1.7,1.0,0.5909090909090908,7.783783783783786,1.1,1.0,0.3307692307692308,18.181818181818183,1.7,1.6,0.5217391304347826,4.881774927856219,0.725728842572194,0.9367151616781098,0.17561401481670433,19.05241935483871,1.7,1.6,0.5219534050179211,7.527360850531577,1.325,1.125,0.39228612956810627
1500,20.0,1.8,1.2,0.5909090909090908,8.210526315789474,1.2999999999999998,1.0,0.31999999999999995,17.142857142857142,1.8,1.5,0.5217391304347826,4.720520293280221,0.7981019271674835,0.9341122796659905,0.18779312750092553,17.647058823529413,1.9,1.6,0.5454545454545454,6.825396825396826,1.4999999999999996,1.1,0.39927134646962237
1800,20.0,1.7,1.3,0.5652173913043479,8.210526315789474,1.25,1.05,0.3258928571428571,17.142857142857142,1.7,1.5,0.5217391304347826,4.877668073092744,0.8237540788678254,0.945411925421444,0.1930045089108749,17.39495798319328,1.7,1.6,0.5298463356973995,7.222222222222221,1.4499999999999997,1.1,0.40494150246305416
2100,20.344827586206897,1.7,1.3,0.5620204603580563,8.210526315789474,1.125,1.0250000000000001,0.3587393162393161,17.142857142857142,1.7,1.55,0.5217391304347826,4.956596044178716,0.8419941158211135,0.9478057826131784,0.19162177720113344,17.647058823529413,1.7,1.6,0.5277777777777778,8.076923076923073,1.4,1.2000000000000002,0.40624999999999994
2400,42.85714285714286,0.7,0.7,0.5,20.0,0.30000000000000004,0.20000000000000007,0.14691558441558444,17.142857142857142,1.7,1.6,0.521286231884058,5.036535974346701,0.8202122502125518,0.9735478763700449,0.19264405549588962,19.05241935483871,1.7,1.4,0.5917467948717948,8.615384615384613,1.1750000000000003,1.0999999999999999,0.3804347826086957
2700,42.85714285714286,0.7,0.7,0.5,18.42105263157895,0.30000000000000004,0.20000000000000007,0.14393939393939398,17.394957983193276,1.7,1.6,0.521286231884058,4.822237475004536,0.7650009756813458,0.9433726496322251,0.1898931559707975,18.75,1.7,1.4,0.5917467948717948,8.615384615384613,1.125,1.0999999999999999,0.37714761570827493
