index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot
0,,,,,,,,,,,,,,,,,,,,,,,,
300,1.8706855253547785,30.150000000000002,9.549999999999999,0.597712297676172,0.8198974342864775,25.050000000000004,7.649999999999999,0.36901274610666523,5.33068753241482,9.6,29.8,0.24468396960335537,6.371566729703123,11.45512985522207,35.638181771801996,0.001722045062081963,17.15686274509804,1.9000000000000001,1.65,0.5408496732026145,6.298197514113038,17.324999999999996,0.8999999999999999,0.23552388895458737
600,1.8706855253547785,30.150000000000002,9.549999999999999,0.597712297676172,0.8198974342864775,25.050000000000004,7.649999999999999,0.36901274610666523,5.33068753241482,9.6,29.8,0.24468396960335537,6.371566729703123,11.45512985522207,35.638181771801996,0.001722045062081963,5.412654745529574,36.55,2.8,0.8468019257221459,4.587345254470426,32.05,1.2999999999999998,0.09680192572214597
900,11.538461538461537,2.3,2.4,0.5111111111111111,5.590062111801242,1.5999999999999999,1.8,0.16862745098039206,12.76595744680851,2.5,1.8,0.6,5.2330398072573505,1.4341283547615375,1.4062580049033249,0.16426906333389393,6.25,4.4,2.0,0.6415094339622641,7.386537262616573,4.799999999999999,5.249999999999999,0.23835281812696663
1200,6.315789473684211,5.8,4.9,0.5836734693877551,5.218421256307662,5.85,7.300000000000001,0.4257288424864355,3.6363636363636367,2.0,7.7,0.273972602739726,4.220690925757709,12.62995305952141,18.820454930992604,0.2838407139107826,6.327433628318584,4.65,2.8,0.6805555555555556,8.779511252400905,22.349999999999994,15.649999999999995,0.28128989003943916
1500,2.7471606386991327,5.55,5.7,0.5772200772200772,5.668769199799142,40.650000000000006,13.024999999999999,0.6208035901895854,3.6363636363636367,2.0,7.7,0.273972602739726,4.220690925757709,12.62995305952141,18.820454930992604,0.2838407139107826,10.169491525423728,2.2,2.6,0.47058823529411764,14.99231950844854,3.5,5.7,0.4847926267281106
1800,6.976744186046512,5.7,3.8,0.5728155339805825,6.1782877316857885,5.2,6.4,0.436879917892576,3.6363636363636367,4.2,7.7,0.264516129032258,3.6654222198212265,6.449246295326128,10.133456687845685,0.2660825680431531,6.71008971365368,3.6,2.6,0.49648449984020454,12.445669542984978,6.6,5.825000000000001,0.305600837246301
2100,10.526315789473683,2.3,2.4,0.5,4.200310559006212,1.5999999999999999,1.7000000000000002,0.2967638650657519,10.714285714285715,2.8,2.4,0.525,2.7704828653933125,1.758204433017625,1.3412944147616164,0.18573014586419473,15.789473684210526,1.8,1.9,0.4951456310679611,8.445747800586513,1.6999999999999997,1.3,0.272027972027972
2400,10.43557168784029,2.55,2.45,0.5086206896551724,4.0644409937888195,1.5250000000000001,1.625,0.26789933230611196,10.714285714285715,2.8,2.45,0.5073979591836735,3.2411554759535597,1.8867859848581143,1.825250958855229,0.18678547329366135,12.904717853839038,2.1,1.9,0.48133848133848134,8.912052724315531,2.1499999999999995,1.6750000000000003,0.2647298779651721
2700,10.344827586206897,2.8,2.5,0.5172413793103449,4.260672732044442,1.5,1.7000000000000002,0.28060606060606064,9.836065573770492,2.8,2.7,0.47727272727272724,3.464541168479541,2.0133819982077594,3.2325397339109587,0.21385956346895144,12.904717853839038,2.1,2.0,0.48133848133848134,7.745098039215685,2.125,1.725,0.24522732169790995
