index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot
4800,19.677419354838708,1.6,1.4,0.5395010395010394,8.333333333333332,1.2000000000000002,1.0,0.38489361702127656,17.647058823529417,1.5,1.6,0.4948979591836734,5.203780041269932,0.8974380913177626,0.8928276202571809,0.1918978334314941,18.75,1.5,1.6,0.4871794871794872,9.210526315789474,1.2,1.1,0.37364756561811263
5100,20.0,1.6,1.4,0.5357142857142857,8.333333333333332,1.2000000000000002,1.0,0.3809523809523809,17.647058823529417,1.5,1.6,0.4895788102475033,5.2489960861837766,0.8989102536955871,0.8906962732819768,0.18932946170156176,19.354838709677427,1.5,1.6,0.4935897435897436,9.103840682788055,1.2,1.1,0.3685688405797103
5400,20.0,1.6,1.4,0.53125,9.420289855072463,1.15,1.0,0.3809523809523809,28.571428571428577,0.9,0.9,0.5,12.734357732536216,0.664793609451478,0.6077385933337868,0.15109694759697273,19.354838709677423,1.6,1.6,0.5,9.412955465587043,1.2,1.1,0.3672208013640239
5700,20.0,1.6,1.4,0.5370879120879121,9.148550724637683,1.2000000000000002,1.0,0.3852380952380953,30.0,0.9,0.9,0.5,12.806433478254744,0.6091402878558461,0.6065886904544135,0.14872346234406808,19.354838709677423,1.6,1.5,0.503968253968254,8.783783783783786,1.2,1.1,0.3774703557312252
6000,20.0,1.6,1.4,0.5333333333333333,9.102036819428124,1.2000000000000002,1.0,0.3809523809523809,30.0,0.9,0.9,0.5,12.715400862962232,0.6193272911525001,0.6001383800142057,0.1486307422523613,19.354838709677423,1.6,1.5,0.509090909090909,8.783783783783786,1.2,1.0,0.3774703557312252
6300,20.0,1.6,1.4,0.5357142857142857,8.783783783783786,1.2000000000000002,1.1,0.375,17.64705882352941,1.6,1.6,0.5,5.256622645618386,0.8713815707968574,0.9463767040557272,0.18736429526110354,19.354838709677423,1.55,1.55,0.5085137085137085,9.210526315789474,1.3,1.1,0.3761067193675889
6600,19.354838709677423,1.6,1.4,0.53125,8.783783783783786,1.2000000000000002,1.1,0.3622734436564223,27.272727272727273,1.0,1.0,0.5,12.739298558693307,0.6938727902698727,0.7002438473686773,0.15344661606018375,18.181818181818183,1.6,1.6,0.5116883116883117,9.615384615384613,1.3000000000000005,1.125,0.37503529079616027
6900,19.354838709677423,1.6,1.4,0.53125,8.783783783783786,1.2000000000000002,1.1,0.3556490384615384,27.272727272727273,1.0,1.0,0.5,12.721826629867351,0.6945859626144629,0.7076895399546985,0.15357719209528334,18.181818181818183,1.6,1.6,0.5085137085137085,9.274390243902438,1.3000000000000005,1.2000000000000002,0.3725126216494502
7200,5.714804063860669,3.05,4.25,0.5231285310734464,5.215974719407214,7.074999999999998,6.925,0.5381914344685241,8.69747899159664,2.75,2.0,0.5142857142857142,11.26765206918014,4.662413504135418,6.396249766538934,0.25347504339248583,12.632978723404255,2.5,2.1500000000000004,0.5344759653270291,9.214994379551342,2.4750000000000005,2.575,0.3798734109028227
7500,5.2631578947368425,4.4,4.3,0.5208333333333334,4.922935357717966,9.85,8.149999999999999,0.5645239609838846,8.333333333333334,2.95,1.75,0.5549770462434218,15.080174861093752,5.603226215381016,7.034984771608548,0.26367062580622186,16.9047619047619,1.7,1.6,0.5,12.234042553191486,1.6,1.4,0.3197875494071146
7800,5.435317265125431,3.7,4.949999999999998,0.5056089743589745,4.8071815463119805,7.874999999999999,8.2,0.586523419449211,10.0,2.6,1.8,0.5399999999999999,13.523548169967933,4.6128314643770665,6.212424399845536,0.2474629098117591,17.142857142857142,1.7,1.6,0.5,12.234042553191486,1.6,1.4,0.3166666666666667
8100,3.508771929824562,4.4,5.9,0.5208333333333334,5.035865905431123,12.9,10.9,0.5905308464849354,14.11960132890365,2.2,2.0,0.5217391304347826,11.770240212001042,3.1074619413925983,3.1060466078672286,0.21099494045352052,10.0,3.0,2.2,0.6020408163265306,13.142857142857142,7.499999999999999,4.800000000000002,0.2896825396825397
8400,3.3707865168539324,5.7,7.8,0.5257142857142857,4.9319214990575455,16.200000000000006,13.4,0.5965680374557003,13.333333333333332,2.5,2.0,0.5389221556886228,11.917043793865664,3.686589363132061,3.250164734847996,0.22366031794326927,8.333333333333334,2.6,2.2,0.5588235294117647,12.62567461598782,5.949999999999998,4.65,0.3884978475504188
8700,3.458471760797342,5.75,5.7,0.542542821334076,4.983169754544342,16.650000000000002,10.474999999999998,0.5787890102323611,14.285714285714285,2.1,2.0,0.5217391304347826,11.304999403523572,2.715213910322324,2.498717235092795,0.20813997650532504,31.578947368421048,0.8,0.8,0.5,22.15384615384616,0.7999999999999999,0.7999999999999999,0.18333333333333332
9000,16.666666666666668,1.7,1.7,0.521286231884058,8.095238095238098,1.3,1.6,0.3399189463019251,20.0,1.25,1.2,0.5,11.278556427675793,1.1302490317067562,0.9541028941279376,0.18418812463924872,34.31372549019608,0.8,0.8,0.5,24.999999999999996,0.6249999999999999,0.7000000000000001,0.17708333333333334
9300,18.75,1.6,1.4,0.53125,8.210526315789473,1.2000000000000002,1.1,0.3519021739130436,28.57142857142857,1.0,0.9,0.5,12.885309835603906,0.7040992805390155,0.6503250211903976,0.15760927514705134,35.29411764705882,0.8,0.8,0.5,25.0,0.6,0.7000000000000001,0.17508417508417512
9600,18.181818181818183,1.6,1.5,0.521286231884058,8.615384615384617,1.125,1.2000000000000002,0.3493888093289689,24.0,1.2,1.1,0.5,11.997144340710726,0.8506128580808222,0.8205713145805928,0.16657085661004264,18.75,1.6,1.5,0.5277777777777778,9.615384615384617,1.3000000000000005,1.1,0.3452380952380953
9900,18.181818181818183,1.6,1.5,0.523581429624171,8.615384615384617,1.1750000000000005,1.2000000000000002,0.35355940457553564,24.0,1.1,1.1,0.5,12.058326706515038,0.841599030823894,0.8101392758336521,0.1641687672287629,18.75,1.6,1.5,0.5319148936170213,9.615384615384617,1.3000000000000005,1.0,0.34848484848484845
