[02],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:51:997
[01],[59],[00],[1b],[b7],[d1],[17],[a7],23:07:12:53:51:997
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:28
[02],[5b],[00],[1b],[2d],[4c],[dc],[52],23:07:12:53:52:28
[03],[5b],[00],[1c],[2f],[34],[f3],[68],23:07:12:53:52:66
[01],[58],[00],[1c],[b7],[d1],[17],[a8],23:07:12:53:52:97
[02],[5b],[00],[1c],[2d],[4c],[dc],[52],23:07:12:53:52:128
[01],[59],[00],[1d],[b7],[d1],[18],[a8],23:07:12:53:52:197
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:229
[02],[5b],[00],[1d],[2d],[4c],[dc],[52],23:07:12:53:52:229
[03],[5b],[00],[1e],[30],[35],[f2],[67],23:07:12:53:52:266
[01],[59],[00],[1e],[b6],[d1],[18],[a8],23:07:12:53:52:298
[02],[5c],[00],[1e],[2d],[4c],[dc],[52],23:07:12:53:52:329
[01],[59],[00],[1f],[b6],[d2],[18],[a9],23:07:12:53:52:398
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:429
[02],[5b],[00],[1f],[2e],[4c],[dc],[52],23:07:12:53:52:429
[03],[5b],[00],[20],[30],[36],[f2],[66],23:07:12:53:52:467
[01],[59],[00],[20],[b5],[d2],[18],[a9],23:07:12:53:52:499
[02],[5b],[00],[20],[2e],[4b],[dc],[53],23:07:12:53:52:530
[01],[59],[00],[21],[b5],[d2],[19],[a9],23:07:12:53:52:599
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:631
[02],[5c],[00],[21],[2e],[4b],[dc],[53],23:07:12:53:52:631
[01],[59],[00],[22],[b4],[d2],[1a],[aa],23:07:12:53:52:699
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:731
[02],[5b],[00],[22],[2e],[4b],[dc],[53],23:07:12:53:52:731
[03],[5b],[00],[23],[31],[37],[f1],[66],23:07:12:53:52:768
[01],[59],[00],[23],[b4],[d3],[1a],[aa],23:07:12:53:52:799
[02],[5b],[00],[23],[2f],[4b],[dc],[53],23:07:12:53:52:831
[01],[59],[00],[24],[b3],[d4],[1b],[aa],23:07:12:53:52:899
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:930
[03],[5b],[00],[24],[31],[37],[f1],[65],23:07:12:53:52:968
[02],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:52:983
[01],[59],[00],[25],[b3],[d4],[1b],[ab],23:07:12:53:52:999
[02],[5b],[00],[25],[2f],[4a],[dc],[53],23:07:12:53:53:30
[01],[59],[00],[26],[b3],[d4],[1b],[ab],23:07:12:53:53:99
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:53:130
[02],[5b],[00],[26],[30],[4a],[db],[53],23:07:12:53:53:130
[03],[5b],[00],[26],[32],[37],[f1],[65],23:07:12:53:53:168
[01],[59],[00],[27],[b2],[d4],[1b],[ab],23:07:12:53:53:199
[02],[5b],[00],[27],[30],[49],[db],[53],23:07:12:53:53:231
[01],[58],[00],[28],[b2],[d4],[1c],[ac],23:07:12:53:53:299
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:53:331
[02],[5b],[00],[28],[30],[49],[da],[53],23:07:12:53:53:332
[03],[5b],[00],[28],[33],[36],[f1],[65],23:07:12:53:53:368
[01],[59],[00],[29],[b2],[d4],[1c],[ac],23:07:12:53:53:399
[02],[5b],[00],[29],[30],[49],[d9],[52],23:07:12:53:53:431
[01],[58],[00],[2a],[b2],[d4],[1c],[ac],23:07:12:53:53:499
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:53:531
[02],[5b],[00],[2a],[30],[49],[d9],[52],23:07:12:53:53:531
[03],[5b],[00],[2a],[34],[36],[f1],[64],23:07:12:53:53:568
[01],[59],[00],[2b],[b2],[d4],[1c],[ac],23:07:12:53:53:601
[02],[5b],[00],[2b],[2f],[49],[d8],[52],23:07:12:53:53:633
[01],[58],[00],[2c],[b1],[d4],[1c],[ad],23:07:12:53:53:700
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:53:731
[02],[5b],[00],[2c],[30],[49],[d8],[52],23:07:12:53:53:731
[03],[5b],[00],[2c],[34],[36],[f1],[64],23:07:12:53:53:768
[01],[59],[00],[2d],[b1],[d4],[1c],[ad],23:07:12:53:53:800
[02],[5b],[00],[2d],[2f],[49],[d7],[52],23:07:12:53:53:831
[01],[59],[00],[2e],[b1],[d4],[1c],[ad],23:07:12:53:53:887
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:53:918
[02],[5b],[00],[2e],[2f],[49],[d7],[52],23:07:12:53:53:934
[03],[5b],[00],[2e],[34],[36],[f2],[64],23:07:12:53:53:968
[01],[59],[00],[2f],[b1],[d4],[1c],[ad],23:07:12:53:54:00
[02],[5b],[00],[2f],[2f],[49],[d7],[52],23:07:12:53:54:31
[01],[59],[00],[30],[b1],[d4],[1d],[ad],23:07:12:53:54:100
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:54:131
[02],[5c],[00],[30],[2f],[49],[d7],[52],23:07:12:53:54:132
[03],[5b],[00],[30],[34],[36],[f2],[64],23:07:12:53:54:168
[01],[59],[00],[31],[b1],[d4],[1d],[ad],23:07:12:53:54:200
[02],[5c],[00],[31],[2f],[49],[d7],[51],23:07:12:53:54:231
[01],[59],[00],[32],[b1],[d4],[1d],[ad],23:07:12:53:54:300
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:54:331
[02],[5b],[00],[32],[2f],[49],[d6],[51],23:07:12:53:54:331
[03],[5b],[00],[32],[34],[36],[f2],[64],23:07:12:53:54:368
[01],[59],[00],[33],[b1],[d4],[1e],[ae],23:07:12:53:54:400
[02],[5b],[00],[33],[2f],[49],[d6],[51],23:07:12:53:54:431
[01],[59],[00],[34],[b1],[d4],[1e],[ae],23:07:12:53:54:499
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:54:531
[02],[5b],[00],[34],[30],[49],[d6],[51],23:07:12:53:54:531
[03],[5b],[00],[34],[35],[36],[f1],[64],23:07:12:53:54:568
[01],[59],[00],[35],[b1],[d4],[1e],[ae],23:07:12:53:54:600
[02],[5b],[00],[35],[30],[49],[d5],[50],23:07:12:53:54:631
[01],[59],[00],[36],[b0],[d4],[1f],[af],23:07:12:53:54:700
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:54:717
[02],[5b],[00],[36],[31],[49],[d5],[50],23:07:12:53:54:733
[03],[5b],[00],[36],[36],[36],[f0],[63],23:07:12:53:54:764
[01],[59],[00],[37],[af],[d7],[1f],[af],23:07:12:53:54:800
[02],[5b],[00],[37],[31],[48],[d5],[50],23:07:12:53:54:832
[01],[59],[00],[38],[b0],[d4],[1e],[ae],23:07:12:53:54:900
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:54:916
[03],[5b],[00],[38],[36],[37],[ef],[63],23:07:12:53:54:964
[02],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:54:985
[01],[59],[00],[39],[b0],[d6],[1e],[ae],23:07:12:53:55:00
[02],[5b],[00],[39],[31],[48],[d7],[51],23:07:12:53:55:32
[01],[59],[00],[3a],[b0],[d5],[1d],[ae],23:07:12:53:55:100
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:116
[02],[5b],[00],[3a],[31],[49],[d6],[51],23:07:12:53:55:132
[03],[5b],[00],[3a],[36],[36],[f0],[63],23:07:12:53:55:163
[01],[58],[00],[3b],[af],[d7],[1e],[ae],23:07:12:53:55:200
[02],[5b],[00],[3b],[31],[48],[d7],[51],23:07:12:53:55:232
[01],[59],[00],[3c],[af],[d6],[1d],[ae],23:07:12:53:55:301
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:317
[02],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:385
[01],[59],[00],[3d],[af],[d6],[1e],[ae],23:07:12:53:55:401
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:417
[02],[5c],[00],[3d],[32],[47],[d6],[51],23:07:12:53:55:433
[01],[59],[00],[3e],[af],[d6],[1e],[ae],23:07:12:53:55:501
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:520
[02],[5b],[00],[3e],[32],[47],[d6],[51],23:07:12:53:55:520
[03],[5b],[00],[3e],[37],[35],[ee],[62],23:07:12:53:55:567
[01],[59],[00],[3f],[af],[d5],[1d],[af],23:07:12:53:55:586
[02],[5c],[00],[3f],[32],[47],[d6],[51],23:07:12:53:55:633
[01],[59],[00],[40],[af],[d5],[1d],[ae],23:07:12:53:55:701
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:718
[02],[5c],[00],[40],[32],[47],[d6],[51],23:07:12:53:55:734
[01],[58],[00],[41],[af],[d6],[1d],[ae],23:07:12:53:55:786
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:817
[02],[5b],[00],[41],[32],[47],[d5],[51],23:07:12:53:55:833
[01],[59],[00],[42],[af],[d5],[1c],[af],23:07:12:53:55:886
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:55:922
[02],[5b],[00],[42],[33],[47],[d5],[50],23:07:12:53:55:922
[01],[59],[00],[43],[ae],[d5],[1c],[af],23:07:12:53:55:986
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:56:18
[02],[5b],[00],[43],[33],[47],[d4],[50],23:07:12:53:56:33
[01],[59],[00],[44],[ad],[d5],[1e],[b0],23:07:12:53:56:87
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:56:118
[02],[5b],[00],[44],[33],[47],[d4],[4f],23:07:12:53:56:134
[01],[59],[00],[45],[ae],[d4],[1e],[b1],23:07:12:53:56:187
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:56:218
[02],[5b],[00],[45],[32],[48],[d3],[4f],23:07:12:53:56:234
[03],[5b],[00],[45],[38],[35],[ed],[62],23:07:12:53:56:266
[01],[59],[00],[46],[ae],[d4],[1e],[b1],23:07:12:53:56:289
[02],[5b],[00],[46],[32],[48],[d3],[4e],23:07:12:53:56:320
[01],[59],[00],[47],[ae],[d4],[1f],[b1],23:07:12:53:56:387
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:56:418
[02],[5b],[00],[47],[33],[48],[d3],[4e],23:07:12:53:56:433
[03],[5b],[00],[47],[39],[35],[ed],[61],23:07:12:53:56:465
[01],[58],[00],[48],[ae],[d4],[1f],[b1],23:07:12:53:56:499
[02],[5b],[00],[48],[33],[48],[d3],[4e],23:07:12:53:56:530
[01],[59],[00],[49],[ae],[d4],[20],[b2],23:07:12:53:56:588
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:56:619
[02],[5b],[00],[49],[33],[48],[d2],[4e],23:07:12:53:56:619
[03],[5b],[00],[49],[39],[35],[ed],[61],23:07:12:53:56:666
[01],[59],[00],[4a],[ae],[d3],[20],[b2],23:07:12:53:56:688
[02],[5b],[00],[4a],[33],[47],[d2],[4e],23:07:12:53:56:719
[01],[58],[00],[4b],[ae],[d3],[20],[b2],23:07:12:53:56:788
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:56:819
[02],[5c],[00],[4b],[33],[47],[d2],[4e],23:07:12:53:56:819
[03],[5b],[00],[4b],[39],[35],[ed],[61],23:07:12:53:56:866
[01],[58],[00],[4c],[ae],[d3],[20],[b2],23:07:12:53:56:888
[02],[5c],[00],[4c],[33],[47],[d2],[4e],23:07:12:53:56:920
[01],[59],[00],[4d],[ae],[d2],[20],[b2],23:07:12:53:56:994
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:57:25
[02],[5b],[00],[4d],[33],[47],[d2],[4e],23:07:12:53:57:25
[03],[5b],[00],[4d],[39],[36],[ec],[61],23:07:12:53:57:57
[01],[59],[00],[4e],[ae],[d3],[21],[b3],23:07:12:53:57:88
[02],[5b],[00],[4e],[33],[47],[d2],[4e],23:07:12:53:57:119
[01],[59],[00],[4f],[ad],[d3],[21],[b3],23:07:12:53:57:188
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:57:219
[02],[5b],[00],[4f],[33],[47],[d2],[4e],23:07:12:53:57:219
