DevID,B,C,nthvalue,1,2,3,4
 [03],[00],[00],71,[eb],[45],[57],[39]
 [01],[00],[00],70,[13],[44],[b0],[43]
 [02],[00],[00],69,[61],[03],[c1],[cd]
 [03],[00],[00],72,[eb],[45],[57],[39]
 [01],[00],[00],71,[13],[44],[b0],[43]
 [02],[00],[00],70,[61],[03],[c1],[cd]
 [03],[00],[00],73,[eb],[45],[57],[39]
 [01],[00],[00],72,[13],[44],[b0],[43]
 [02],[00],[00],71,[61],[03],[c1],[ce]
 [03],[00],[00],74,[eb],[44],[57],[39]
 [02],[00],[00],72,[61],[03],[c1],[cd]
 [03],[00],[00],75,[eb],[45],[57],[39]
 [01],[FF],,73,[00],[00],[00],[00]
 [01],[00],[00],74,[13],[44],[b0],[43]
 [03],[00],[00],76,[eb],[44],[57],[39]
 [01],[00],[00],75,[13],[44],[b0],[43]
 [02],[00],[00],73,[61],[03],[c0],[ce]
 [02],[00],[00],74,[61],[03],[c0],[ce]
 [01],[00],[00],76,[13],[44],[b0],[43]
 [02],[00],[00],75,[61],[03],[c0],[ce]
 [03],[00],[00],78,[eb],[44],[57],[39]
 [01],[00],[00],77,[13],[44],[b0],[43]
 [02],[00],[00],76,[61],[03],[c0],[ce]
 [03],[00],[00],79,[eb],[44],[57],[39]
 [01],[00],[00],78,[13],[44],[b0],[43]
 [03],[00],[00],80,[eb],[44],[57],[3a]
 [02],[00],[00],77,[61],[02],[c0],[ce]
 [03],[00],[00],81,[eb],[44],[57],[39]
 [02],[00],[00],78,[61],[02],[c1],[cd]
 [01],[FF],,79,[00],[00],[00],[00]
 [01],[00],[00],80,[12],[44],[b0],[43]
 [02],[00],[00],79,[61],[02],[c1],[ce]
 [03],[00],[00],82,[eb],[44],[57],[39]
 [01],[00],[00],81,[13],[44],[b0],[43]
 [03],[00],[00],83,[eb],[44],[57],[39]
 [01],[00],[00],82,[13],[44],[b0],[43]
 [02],[00],[00],80,[61],[03],[c1],[ce]
